我一剑能挡百万兵,20,我一剑能挡百万兵。
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,61313831.799657822,0.125
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,61605223.824354209,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_2,我的（呀）父谏奏反把命（哪）送，,61655883.280801237,0.125
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,62046263.09051346,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,62251287.394531518,0.125
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,62266547.141436733,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,62572095.413842782,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,62676498.108435772,0.125
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,62990846.846080743,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_1,陈宫心中乱如麻。,63319632.486629717,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,63438599.608490668,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,63545421.170648418,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,63582161.168862447,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,63782975.220669486,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,63876540.902162164,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,64298182.528332941,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,64399102.440544613,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_5,这才是花随水水不（哇）能恋（呐）花。,64626423.633753128,0.125
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,65181395.818849511,0.0
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,65207319.539432779,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,65227122.089130409,0.125
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,65237770.10309644,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,65814716.050552107,0.125
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,65893386.864220791,0.25
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,65973603.516885795,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,66069639.680547982,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,66206132.715742476,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,66397381.818718642,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_3,见坟台不见人刀割我心。,66627844.615342416,0.125
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,66752901.300446376,0.125
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,67037030.430951834,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,67373393.187069237,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,67407919.67363587,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,67539460.778983772,0.125
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,67609434.213793859,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,67635474.248406902,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,67850574.385960534,0.125
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,67900418.308326811,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,67944821.135939568,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,67948208.001122236,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,68326400.244467586,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,68326400.244467586,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,68835086.917889431,0.125
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,69371429.604321375,0.125
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,69412460.254863292,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,69452643.908967763,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,69488515.018118069,0.0
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,69753884.696416199,0.125
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,70008072.248133183,0.125
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,70740893.631940469,0.125
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,71015641.069455057,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,71065688.5407684,0.125
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,71093292.450141847,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,71472446.864382356,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,71497898.530695498,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_6,三人同把那鬼门关上爬，,71713875.262192726,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,71975132.294854417,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,72138104.899462014,0.125
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,72238057.004900187,0.375
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,72406885.057074189,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,72435340.995452613,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_5,这才是花随水水不（哇）能恋（呐）花。,72480885.006229058,0.125
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,72488470.12890549,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_2,为（呀）儿（啼）女我也曾朝山拜庙，,72568301.184118837,0.125
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,72630967.663507536,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_9,不能（呃）哎见。,72733040.456248179,0.125
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,72751329.848204076,0.0
lseh-LaoZhangBu-WuPenJi.xml_0,老丈不（哇）必胆怕惊，,73199104.486765072,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,73200303.977534309,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,73444049.601382568,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_1,父纳子（呃）妻礼难容，,73463365.151568636,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,73975807.101985455,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_33,我本当拔宝剑自寻短见，,74228873.230019569,0.25
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,74322265.087315679,0.125
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,74942495.483023927,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,75843480.415065214,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,75868860.356237739,0.125
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,76020684.636619046,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,76088365.585551336,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,76091451.101360217,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_21,我不杀平王我的心怎甘。,76219604.302782476,0.125
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,76428842.227342576,0.25
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,76619268.424855784,0.125
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,76811961.835615873,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,76915839.344868124,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,76927958.542734891,0.125
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,76927958.542734891,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,77207633.800040781,0.125
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,77405187.02790983,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,77437775.973501265,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,77440909.496609688,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,77453551.147434548,0.0
sdxp-WoHeNi-SiLangTanMu.xml_12,无有令箭怎过关。,77454710.41820702,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,77520845.798341468,0.125
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,77697335.374266431,0.25
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,77783238.61239855,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,77826551.635106489,0.25
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,77837869.386421904,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_37,我不杀平王我的心怎甘（哪）。,77970153.391080037,0.125
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,78308832.474992946,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,78353649.413389757,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,78549204.346372098,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,78684249.334618002,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,78736284.293771014,0.0
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,78881798.961762264,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,78944204.789542258,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,79011608.887465313,0.125
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,79210030.979191318,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,79226533.499118268,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,79368408.185276404,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,79482297.182225496,0.125
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,80157278.249799579,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,80366920.617621362,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,80544546.138459057,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,80830005.73433505,0.0
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,81231031.807045355,0.25
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,81472123.299066916,0.25
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,81537227.326346502,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,81631670.580709398,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,82043924.7245377,0.125
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,82043924.7245377,0.125
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,82277256.111859828,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,82360988.414133444,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,82558800.406584054,0.0
lsxp-QingGongYan-FaDongWu.xml_1,想起桃园结拜情。,82650346.999928728,0.0
sdxp-WoHeNi-SiLangTanMu.xml_16,快马加鞭我一夜还。,82818012.244097844,0.25
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,83064275.723069444,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,83064275.723069444,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,83241904.263069808,0.0
lseh-XiRiLi-BaoLianDeng.xml_5,那伯夷尊父命也不能应承，,83721754.647034317,0.125
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,83769639.698188215,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,83890564.422547176,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,84030004.228500694,0.125
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,84166238.042035863,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,85481768.72444135,0.125
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,85615841.450901762,0.125
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,85952076.136311486,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,86147698.466277316,0.125
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,86608786.462970003,0.0
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,86901378.381245583,0.125
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,86916386.877559349,0.125
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,87404960.02221489,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,87539884.564276338,0.125
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,88043787.730341792,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,88169436.121929318,0.125
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,88265614.752295271,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,88519716.377622575,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,88880977.415687501,0.125
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,88880977.415687501,0.125
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,90426951.659135446,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,90773544.482358053,0.125
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,90903988.826513052,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,91278861.693978116,0.125
lsxp-TingTaYan-ZhuoFangCao-1.xml_6,这时候我只得暂且忍耐在心下，,91498396.877979234,0.125
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,91542030.078954533,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,91595757.806465954,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_25,不能（哪）哎见爹娘（兀）！,91811452.585344329,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,92041862.82459414,0.125
lseh-WeiGuoJia-HongYangDong-3.xml_3,身不爽不由人瞌睡朦胧。,92056680.479982018,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,92184774.388870656,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,92675456.028936282,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,92686204.808227271,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,92816169.485863358,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,93038067.890622988,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_5,他将我隐藏在后花园。,93170512.696120054,0.125
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,93303102.030699372,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,93594158.182211429,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_11,自有那神灵（啊）天地鉴察。,94459038.997692555,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,94610267.493330806,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,94754070.812085241,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,94971707.866176546,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,95038236.946302533,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,95282908.2716517,0.125
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,96163700.406597048,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,96459946.615974844,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_6,这时候我只得暂且忍耐在心下，,96537618.051095068,0.125
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,96589865.18054764,0.125
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,96766121.721763521,0.125
lseh-WeiGuoJia-HongYangDong-1.xml_3,身不爽不由人瞌睡朦胧（呃）。,97161006.320702091,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,97320621.515134439,0.125
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,97688522.252984837,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,97691731.337982133,0.125
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,97975339.408324361,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,98250231.385119393,0.0
lsxp-WoBenShi-KongChengJi-2.xml_5,东西战南北剿博古（呃）通（哦）今。,98408623.351779908,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,98537655.44145675,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,98537655.44145675,0.0
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,98570339.16317682,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,99457639.509661406,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,99600849.457142934,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,99769212.261975214,0.125
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,100023089.46747306,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,100290934.73362321,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,100531941.04797974,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,100573966.29625496,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,100767617.48335336,0.125
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,101527989.57974018,0.125
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,101544163.37864782,0.25
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,101796256.83483709,0.25
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,102054754.79004578,0.125
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,102093354.58485836,0.125
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,102198272.59615533,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_3,身不爽不由人瞌睡朦胧（呃）（哪）。,102826148.99835823,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_10,爹娘（呃）要相逢除非是梦（呃）里团圆。,103038941.39563924,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,103192416.07111214,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,103249311.38878617,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,103250180.61605266,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,103368805.9107701,0.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,103698315.85396855,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,103754529.79336277,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,103776184.15316747,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,104469246.14712965,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,104485784.68777969,0.125
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,105157857.16292609,0.0
lsxp-DaHeYi-SiLangTanMu.xml_16,我是你四哥回宋营。,105378471.46223658,0.125
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,105694518.77306877,0.125
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,105913626.58203624,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,105991065.88605244,0.125
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,105998128.2760672,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,106277050.25286463,0.125
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,107118062.74117148,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,107619306.26366395,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,107628172.28962575,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,107705528.87279569,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_0,一轮明月照窗下，,107757654.0264862,0.125
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,108814951.42652792,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,108976623.45098801,0.0
lsxp-WoBenShi-KongChengJi-1.xml_7,俺诸（喏）葛怎比得前辈呀的先哪生。,109059962.96845199,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,109152979.97450161,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,109285740.11699969,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,109726948.71312852,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,109759713.91752851,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,110256257.66197382,0.125
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,110379542.51933117,0.125
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,110486228.47533959,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_4,怕将（呃）来老天爷无（哇）有果报，,110700652.41776866,0.0
lsxp-ZheYiFeng-DingJunShan.xml_4,头通（呃）鼓紧战袍，,111132380.45228274,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_11,自有那神灵儿天地鉴察。,111538800.35665168,0.0
lseh-LaoZhangBu-WuPenJi.xml_6,我和你远无冤近无有仇恨，,112269875.38182785,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,113063797.51457691,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,113077122.66642705,0.125
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,113325650.75770542,0.0
sdxp-SuLongWei-WuJiaPo.xml_10,管保大嫂就断与咱。,113448838.37735941,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,113655747.57294689,0.125
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,113924986.12794939,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,113996352.93916672,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,114103012.44655037,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_1,问三娘发雷霆却是为何？,114234406.5101814,0.0
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,114657739.65722421,0.0
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,114668964.79362802,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_11,自有那神灵儿天地鉴察。,115271547.67892645,0.0
lseh-JinZhongXiang-ShangTianTai.xml_4,内侍臣忙摆驾九龙口进，,115477510.40476795,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,115998984.72211309,0.125
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,116076437.39714827,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,116148778.22832941,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,116247953.97656992,0.0
lsxp-YiShiWu-YuCangJian.xml_6,他害我满门（呐）真悲惨，,116331234.44234703,0.125
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,116644961.64519428,0.0
